from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
1*4|1,1*3*4|2,1,(1*4|1)+(1*3*4|1)=(1*3*4|2),(1*4|1)=(1*4|2)+(1*3*4|2),2,2,0,6.0,6.0,0.0,7.2114e-5
1*4|1,2*3*4|2,1,(1*4|1)=(1*4|2)+(1*3*4|2)-(3*4|2)+(2*3*4|2),(1*4|1)=(1*4|2)-(4|2)+(2*4|2)+(2*3*4|2),4,4,0,10.0,10.0,0.0,0.000199673
1*4|1,1*2*3*4|2,2,(1*4|1)=(1*4|2)+(1*3*4|2)+(1*2*3*4|2),(1*4|1)=(1*4|2)+(1*2*4|2)+(1*2*3*4|2),3,3,0,7.0,7.0,0.0,0.000138677
1*4|1,5|2,-1,(1*4|1)+(1*4*5|1)=(1*4*5|2)-(4*5|2)-(5|2),(1*4|1)=(1*4|2)-(4|2)-(|2)+(5|2),4,4,0,12.0,12.0,0.0,0.000284317
1*4|1,1*5|2,0,(1*4|1)=(1*4|2)+(1*4*5|2)-(1*5|2),(1*4|1)=(1*4|2)-(1|2)+(1*5|2),3,3,0,9.0,9.0,0.0,0.000137384
1*4|1,2*5|2,0,(1*4|1)+(1*2*4|1)-(2*4|1)-(2|1)=(2|2)+(2*5|2),(1*4|1)=(1*4|2)-(4|2)-(|2)+(2|2)+(2*5|2),5,5,0,13.0,13.0,0.0,0.000345661
1*4|1,3*5|2,0,(1*4|1)+(1*3*4|1)-(3*4|1)-(3|1)=(3|2)+(3*5|2),(1*4|1)=(1*4|2)-(4|2)-(|2)+(3|2)+(3*5|2),5,5,0,13.0,13.0,0.0,0.00035397
1*4|1,1*3*5|2,1,(1*4|1)=(1*4|2)+(1*3*4|2)+(1*3*4*5|2)-(1*3*5|2),(1*4|1)=(1*4|2)-(1|2)+(1*3|2)+(1*3*5|2),4,4,0,10.0,10.0,0.0,0.000189505
1*4|1,2*3*5|2,1,(1*4|1)+(1*3*4|1)+(1*3*4*5|1)+(1*2*3*4*5|1)-(1*2*3*5|1)-(2*3*5|1)=(2*3*5|2),(1*4|1)=(1*4|2)-(4|2)-(|2)+(2|2)+(2*3|2)+(2*3*5|2),6,6,0,14.0,14.0,0.0,0.000409884
1*4|1,4*5|2,0,(1*4|1)=(1*4|2)+(1*4*5|2)-(4*5|2),(1*4|1)=(1*4|2)-(4|2)+(4*5|2),3,3,0,9.0,9.0,0.0,0.000137044
1*4|1,1*4*5|2,1,(1*4|1)+(1*4*5|1)=(1*4*5|2),(1*4|1)=(1*4|2)+(1*4*5|2),2,2,0,6.0,6.0,0.0,7.9512e-5
1*4|1,3*4*5|2,1,(1*4|1)=(1*4|2)+(1*3*4|2)+(1*3*4*5|2)-(3*4*5|2),(1*4|1)=(1*4|2)-(4|2)+(3*4|2)+(3*4*5|2),4,4,0,10.0,10.0,0.0,0.000184966
1*4|1,1*3*4*5|2,2,(1*4|1)=(1*4|2)+(1*4*5|2)+(1*3*4*5|2),(1*4|1)=(1*4|2)+(1*3*4|2)+(1*3*4*5|2),3,3,0,7.0,7.0,0.0,0.000138754
1*4|1,|3,-2,(1*4|1)=(1*4|2)=(1*4|3)-(4|3)-(|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)-(|3),4,4,0,16.0,16.0,0.0,0.000350185
1*4|1,1|3,-1,(1*4|1)-(1|1)=(1|2)=(1|3),(1*4|1)=(1*4|2)=(1*4|3)-(1|3),3,3,0,13.0,13.0,0.0,0.000119214
1*4|1,2|3,-1,(1*4|1)+(1*2*4|1)=(1*2*4|2)-(1*2|2)-(2|2)=(2|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)-(|3)+(2|3),5,5,0,17.0,17.0,0.0,0.000384845
1*4|1,1*2|3,0,(1*4|1)=(1*4|2)=(1*4|3)+(1*2*4|3)-(1*2|3),(1*4|1)=(1*4|2)=(1*4|3)-(1|3)+(1*2|3),4,4,0,14.0,14.0,0.0,0.000178722
1*4|1,3|3,-1,(1*4|1)+(1*3*4|1)=(1*3*4|2)-(3*4|2)-(3|2)=(3|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)-(|3)+(3|3),5,5,0,17.0,17.0,0.0,0.000369091
1*4|1,1*3|3,0,(1*4|1)=(1*4|2)+(1*3*4|2)=(1*3*4|3)-(1*3|3),(1*4|1)=(1*4|2)=(1*4|3)-(1|3)+(1*3|3),4,4,0,14.0,14.0,0.0,0.000165202
1*4|1,2*3|3,0,(1*4|1)=(1*4|2)+(1*3*4|2)-(3*4|2)-(3|2)=(3|3)+(2*3|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)-(|3)+(2|3)+(2*3|3),6,6,0,18.0,18.0,0.0,0.000414629
1*4|1,1*2*3|3,1,(1*4|1)+(1*2*4|1)+(1*2*3*4|1)=(1*2*3*4|2)-(1*2*3|2)=(1*2*3|3),(1*4|1)=(1*4|2)=(1*4|3)-(1|3)+(1*2|3)+(1*2*3|3),5,5,0,15.0,15.0,0.0,0.000299241
1*4|1,4|3,-1,(1*4|1)-(4|1)=(4|2)=(4|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3),3,3,0,13.0,13.0,0.0,0.000107052
1*4|1,1*4|3,0,(1*4|1)=(1*4|2)=(1*4|3),(1*4|1)=(1*4|2)=(1*4|3),2,2,0,10.0,10.0,0.0,5.5898e-5
1*4|1,2*4|3,0,(1*4|1)=(1*4|2)=(1*4|3)-(4|3)+(2*4|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)+(2*4|3),4,4,0,14.0,14.0,0.0,0.000173224
1*4|1,1*2*4|3,1,(1*4|1)+(1*2*4|1)=(1*2*4|2)=(1*2*4|3),(1*4|1)=(1*4|2)=(1*4|3)+(1*2*4|3),3,3,0,11.0,11.0,0.0,0.000108099
1*4|1,3*4|3,0,(1*4|1)=(1*4|2)+(1*3*4|2)=(1*3*4|3)-(3*4|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)+(3*4|3),4,4,0,14.0,14.0,0.0,0.000166598
1*4|1,1*3*4|3,1,(1*4|1)+(1*3*4|1)=(1*3*4|2)=(1*3*4|3),(1*4|1)=(1*4|2)=(1*4|3)+(1*3*4|3),3,3,0,11.0,11.0,0.0,0.000104896
1*4|1,2*3*4|3,1,(1*4|1)+(1*2*4|1)+(1*2*3*4|1)=(1*2*3*4|2)-(2*3*4|2)=(2*3*4|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)+(2*4|3)+(2*3*4|3),5,5,0,15.0,15.0,0.0,0.000296215
1*4|1,1*2*3*4|3,2,(1*4|1)=(1*4|2)+(1*3*4|2)=(1*3*4|3)+(1*2*3*4|3),(1*4|1)=(1*4|2)=(1*4|3)+(1*2*4|3)+(1*2*3*4|3),4,4,0,12.0,12.0,0.0,0.00016169
1*4|1,5|3,-1,(1*4|1)+(1*4*5|1)=(1*4*5|2)-(4*5|2)-(5|2)=(5|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)-(|3)+(5|3),5,5,0,17.0,17.0,0.0,0.000375969
1*4|1,1*5|3,0,(1*4|1)=(1*4|2)+(1*4*5|2)=(1*4*5|3)-(1*5|3),(1*4|1)=(1*4|2)=(1*4|3)-(1|3)+(1*5|3),4,4,0,14.0,14.0,0.0,0.000162919
1*4|1,2*5|3,0,(1*4|1)=(1*4|2)+(1*4*5|2)-(4*5|2)-(5|2)=(5|3)+(2*5|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)-(|3)+(2|3)+(2*5|3),6,6,0,18.0,18.0,0.0,0.00041576
1*4|1,1*2*5|3,1,(1*4|1)-(1|1)+(1*2|1)=(1*2|2)+(1*2*5|2)=(1*2*5|3),(1*4|1)=(1*4|2)=(1*4|3)-(1|3)+(1*2|3)+(1*2*5|3),5,5,0,15.0,15.0,0.0,0.000297558
1*4|1,3*5|3,0,(1*4|1)=(1*4|2)+(1*4*5|2)=(1*4*5|3)+(1*3*4*5|3)>(3*4*5|3)-(3*5|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)-(|3)+(3|3)+(3*5|3),6,6,0,18.0,15.1,2.9,0.000228778
1*4|1,1*3*5|3,1,(1*4|1)-(1|1)=(1|2)=(1|3)+(1*5|3)+(1*3*5|3),(1*4|1)=(1*4|2)=(1*4|3)-(1|3)+(1*3|3)+(1*3*5|3),5,5,0,15.0,15.0,0.0,0.000197367
1*4|1,2*3*5|3,1,(1*4|1)=(1*4|2)+(1*3*4|2)=(1*3*4|3)+(1*3*4*5|3)>(3*4*5|3)-(3*5|3)+(2*3*5|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)-(|3)+(2|3)+(2*3|3)+(2*3*5|3),7,7,0,19.0,16.1,2.9,0.000348588
1*4|1,1*2*3*5|3,2,(1*4|1)-(1|1)=(1|2)+(1*2|2)+(1*2*5|2)=(1*2*5|3)+(1*2*3*5|3),(1*4|1)=(1*4|2)=(1*4|3)-(1|3)+(1*2|3)+(1*2*3|3)+(1*2*3*5|3),6,6,0,16.0,16.0,0.0,0.000265233
1*4|1,4*5|3,0,(1*4|1)=(1*4|2)+(1*4*5|2)=(1*4*5|3)-(4*5|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)+(4*5|3),4,4,0,14.0,14.0,0.0,0.000166244
1*4|1,1*4*5|3,1,(1*4|1)+(1*4*5|1)=(1*4*5|2)=(1*4*5|3),(1*4|1)=(1*4|2)=(1*4|3)+(1*4*5|3),3,3,0,11.0,11.0,0.0,0.000112685
1*4|1,2*4*5|3,1,(1*4|1)-(4|1)+(2*4|1)=(2*4|2)+(2*4*5|2)=(2*4*5|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)+(2*4|3)+(2*4*5|3),5,5,0,15.0,15.0,0.0,0.000315068
1*4|1,3*4*5|3,1,(1*4|1)=(1*4|2)+(1*3*4|2)=(1*3*4|3)+(1*3*4*5|3)>(3*4*5|3),(1*4|1)=(1*4|2)=(1*4|3)-(4|3)+(3*4|3)+(3*4*5|3),5,5,0,15.0,12.1,2.9,0.000198027
2*4|1,|1,-2,(2*4|1)-(2|1)-(|1),(2*4|1)-(4|1)-(|1),2,2,0,6.0,6.0,0.0,0.000159152
2*4|1,1|1,-1,(2*4|1)+(1*2*4|1)-(1*4|1)-(1|1),(2*4|1)-(4|1)-(|1)+(1|1),3,3,0,7.0,7.0,0.0,0.000167975
2*4|1,2|1,-1,(2*4|1)-(2|1),(2*4|1)-(2|1),1,1,0,3.0,3.0,0.0,4.0001e-5
2*4|1,1*2|1,0,(2*4|1)-(2|1)+(1*2|1),(2*4|1)-(2|1)+(1*2|1),2,2,0,4.0,4.0,0.0,6.8912e-5
2*4|1,3|1,-1,(2*4|1)+(2*3*4|1)-(3*4|1)-(3|1),(2*4|1)-(4|1)-(|1)+(3|1),3,3,0,7.0,7.0,0.0,0.000163337
2*4|1,1*3|1,0,(2*4|1)+(1*2*4|1)+(1*2*3*4|1)-(1*3*4|1)-(1*3|1),(2*4|1)-(4|1)-(|1)+(1|1)+(1*3|1),4,4,0,8.0,8.0,0.0,0.000198236
2*4|1,2*3|1,0,(2*4|1)-(2|1)+(2*3|1),(2*4|1)-(2|1)+(2*3|1),2,2,0,4.0,4.0,0.0,7.728e-5
2*4|1,1*2*3|1,1,(2*4|1)-(2|1)+(1*2|1)+(1*2*3|1),(2*4|1)-(2|1)+(1*2|1)+(1*2*3|1),3,3,0,5.0,5.0,0.0,0.000112283
2*4|1,4|1,-1,(2*4|1)-(4|1),(2*4|1)-(4|1),1,1,0,3.0,3.0,0.0,3.7173e-5
2*4|1,1*4|1,0,(2*4|1)-(4|1)+(1*4|1),(2*4|1)-(4|1)+(1*4|1),2,2,0,4.0,4.0,0.0,8.0546e-5
2*4|1,1*2*4|1,1,(2*4|1)+(1*2*4|1),(2*4|1)+(1*2*4|1),1,1,0,1.0,1.0,0.0,3.5725e-5
2*4|1,3*4|1,0,(2*4|1)-(4|1)+(3*4|1),(2*4|1)-(4|1)+(3*4|1),2,2,0,4.0,4.0,0.0,7.1025e-5
2*4|1,1*3*4|1,1,(2*4|1)-(4|1)+(1*4|1)+(1*3*4|1),(2*4|1)-(4|1)+(1*4|1)+(1*3*4|1),3,3,0,5.0,5.0,0.0,0.000104169
