from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
1*3|3,5|2,-1,(1*3|3)=(1*3|2)>(3|2)-(|2)+(5|2),(1*3|3)=(1*3|2)-(3|2)-(|2)+(5|2),4,4,0,12.0,9.1,2.9,0.000157896
1*3|3,2*5|2,0,(1*3|3)=(1*3|2)>(3|2)+(2*3|2)+(2*3*5|2)-(2*5|2),(1*3|3)=(1*3|2)-(3|2)-(|2)+(2|2)+(2*5|2),5,5,0,13.0,10.1,2.9,0.00028187
1*3|3,|3,-2,(1*3|3)-(3|3)-(|3),(1*3|3)-(3|3)-(|3),2,2,0,6.0,6.0,0.0,0.000179636
1*3|3,1|3,-1,(1*3|3)-(1|3),(1*3|3)-(1|3),1,1,0,3.0,3.0,0.0,4.5193e-5
1*3|3,2|3,-1,(1*3|3)+(1*2*3|3)-(1*2|3)-(2|3),(1*3|3)-(3|3)-(|3)+(2|3),3,3,0,7.0,7.0,0.0,0.000234757
1*3|3,1*2|3,0,(1*3|3)-(1|3)+(1*2|3),(1*3|3)-(1|3)+(1*2|3),2,2,0,4.0,4.0,0.0,9.0355e-5
1*3|3,3|3,-1,(1*3|3)-(3|3),(1*3|3)-(3|3),1,1,0,3.0,3.0,0.0,4.2705e-5
1*3|3,2*3|3,0,(1*3|3)-(3|3)+(2*3|3),(1*3|3)-(3|3)+(2*3|3),2,2,0,4.0,4.0,0.0,8.848e-5
1*3|3,1*2*3|3,1,(1*3|3)+(1*2*3|3),(1*3|3)+(1*2*3|3),1,1,0,1.0,1.0,0.0,4.025e-5
1*3|3,4|3,-1,(1*3|3)+(1*3*4|3)-(1*4|3)-(4|3),(1*3|3)-(3|3)-(|3)+(4|3),3,3,0,7.0,7.0,0.0,0.000231331
1*3|3,1*4|3,0,(1*3|3)-(1|3)+(1*4|3),(1*3|3)-(1|3)+(1*4|3),2,2,0,4.0,4.0,0.0,8.6808e-5
1*3|3,2*4|3,0,(1*3|3)+(1*2*3|3)+(1*2*3*4|3)-(2*3*4|3)-(2*4|3),(1*3|3)-(3|3)-(|3)+(2|3)+(2*4|3),4,4,0,8.0,8.0,0.0,0.000275275
1*3|3,1*2*4|3,1,(1*3|3)+(1*2*3|3)+(1*2*3*4|3)-(1*2*4|3),(1*3|3)-(1|3)+(1*2|3)+(1*2*4|3),3,3,0,5.0,5.0,0.0,0.000150607
1*3|3,3*4|3,0,(1*3|3)-(3|3)+(3*4|3),(1*3|3)-(3|3)+(3*4|3),2,2,0,4.0,4.0,0.0,8.8288e-5
1*3|3,1*3*4|3,1,(1*3|3)+(1*3*4|3),(1*3|3)+(1*3*4|3),1,1,0,1.0,1.0,0.0,4.4293e-5
1*3|3,2*3*4|3,1,(1*3|3)+(1*2*3|3)+(1*2*3*4|3)-(2*3*4|3),(1*3|3)-(3|3)+(2*3|3)+(2*3*4|3),3,3,0,5.0,5.0,0.0,0.00015823
1*3|3,1*2*3*4|3,2,(1*3|3)+(1*2*3|3)+(1*2*3*4|3),(1*3|3)+(1*2*3|3)+(1*2*3*4|3),2,2,0,2.0,2.0,0.0,9.3116e-5
1*3|3,5|3,-1,(1*3|3)+(1*3*5|3)-(1*5|3)-(5|3),(1*3|3)-(3|3)-(|3)+(5|3),3,3,0,7.0,7.0,0.0,0.00023248
1*3|3,1*5|3,0,(1*3|3)-(1|3)+(1*5|3),(1*3|3)-(1|3)+(1*5|3),2,2,0,4.0,4.0,0.0,9.03e-5
1*3|3,2*5|3,0,(1*3|3)+(1*2*3|3)+(1*2*3*5|3)-(2*3*5|3)-(2*5|3),(1*3|3)-(3|3)-(|3)+(2|3)+(2*5|3),4,4,0,8.0,8.0,0.0,0.000279442
1*3|3,3*5|3,0,(1*3|3)-(3|3)+(3*5|3),(1*3|3)-(3|3)+(3*5|3),2,2,0,4.0,4.0,0.0,9.0177e-5
1*3|3,1*3*5|3,1,(1*3|3)+(1*3*5|3),(1*3|3)+(1*3*5|3),1,1,0,1.0,1.0,0.0,4.1436e-5
1*3|3,2*3*5|3,1,(1*3|3)+(1*3*5|3)+(1*2*3*5|3)-(2*3*5|3),(1*3|3)-(3|3)+(2*3|3)+(2*3*5|3),3,3,0,5.0,5.0,0.0,0.000162767
1*3|3,4*5|3,0,(1*3|3)+(1*3*4|3)+(1*3*4*5|3)-(3*4*5|3)-(4*5|3),(1*3|3)-(3|3)-(|3)+(4|3)+(4*5|3),4,4,0,8.0,8.0,0.0,0.000284432
1*3|3,1*4*5|3,1,(1*3|3)+(1*3*5|3)+(1*3*4*5|3)-(1*4*5|3),(1*3|3)-(1|3)+(1*4|3)+(1*4*5|3),3,3,0,5.0,5.0,0.0,0.000161144
1*3|3,3*4*5|3,1,(1*3|3)+(1*3*5|3)+(1*3*4*5|3)-(3*4*5|3),(1*3|3)-(3|3)+(3*4|3)+(3*4*5|3),3,3,0,5.0,5.0,0.0,0.000158264
1*3|3,1*3*4*5|3,2,(1*3|3)+(1*3*4|3)+(1*3*4*5|3),(1*3|3)+(1*3*4|3)+(1*3*4*5|3),2,2,0,2.0,2.0,0.0,8.0197e-5
1*3|3,|4,-2,(1*3|3)=(1*3|4)-(1|4)-(|4),(1*3|3)=(1*3|4)-(3|4)-(|4),3,3,0,11.0,11.0,0.0,0.000295396
1*3|3,1|4,-1,(1*3|3)-(1|3)=(1|4),(1*3|3)=(1*3|4)-(1|4),2,2,0,8.0,8.0,0.0,8.3027e-5
