from,to,net_species_gain,path_astar,path_nominal,path_length,path_length_astar,net_length_improvement,net_cost,net_cost_astar,net_cost_improvement,astar_time
5*10|1,4|1,-1,(5*10|1)+(4*5*10|1)+(2*4*5*10|1)>(4*10|1)-(4|1),(5*10|1)-(10|1)-(|1)+(4|1),3,4,-1,7.0,5.1,1.9,0.000974136
5*10|1,5|1,-1,(5*10|1)-(5|1),(5*10|1)-(5|1),1,1,0,3.0,3.0,0.0,0.00018487
5*10|1,6|1,-1,(5*10|1)+(5*6*10|1)>(5*6|1)-(6|1),(5*10|1)-(10|1)-(|1)+(6|1),3,3,0,7.0,4.1,2.9,0.000295952
5*10|1,4*6|1,0,(5*10|1)+(4*5*10|1)+(4*5*6*10|1)>(4*6*10|1)>(4*6|1),(5*10|1)-(10|1)-(|1)+(4|1)+(4*6|1),4,4,0,8.0,2.2,5.8,0.000438125
5*10|1,7|1,-1,(5*10|1)+(2*5*10|1)>(2*10|1)+(2*7*10|1)+(2*6*7*10|1)>(7|1),(5*10|1)-(10|1)-(|1)+(7|1),3,5,-2,7.0,3.2,3.8,0.002937783
5*10|1,1*7|1,0,(5*10|1)+(1*5*10|1)+(1*5*7*10|1)>(1*7*10|1)-(1*7|1),(5*10|1)-(10|1)-(|1)+(1|1)+(1*7|1),4,4,0,8.0,5.1,2.9,0.000391747
5*10|1,5*7|1,0,(5*10|1)-(5|1)+(5*7|1),(5*10|1)-(5|1)+(5*7|1),2,2,0,4.0,4.0,0.0,0.000290428
5*10|1,1*5*7|1,1,(5*10|1)-(5|1)+(1*5|1)+(1*5*7|1),(5*10|1)-(5|1)+(1*5|1)+(1*5*7|1),3,3,0,5.0,5.0,0.0,0.000474258
5*10|1,4*5*7|1,1,(5*10|1)-(5|1)+(4*5|1)+(4*5*7|1),(5*10|1)-(5|1)+(4*5|1)+(4*5*7|1),3,3,0,5.0,5.0,0.0,0.000485878
5*10|1,1*4*5*7|1,2,(5*10|1)+(1*5*10|1)+(1*5*7*10|1)+(1*4*5*7*10|1)-(1*4*5*7|1),(5*10|1)-(5|1)+(1*5|1)+(1*4*5|1)+(1*4*5*7|1),4,4,0,6.0,6.0,0.0,0.000615265
5*10|1,8|1,-1,(5*10|1)+(5*6*10|1)>(5*6|1)+(5*6*8|1)+(4*5*6*8|1)>(6*8|1)>(8|1),(5*10|1)-(10|1)-(|1)+(8|1),3,6,-3,7.0,3.3000000000000003,3.7,0.003761217
